name,relative_url,population,more_or_less_pop,arrests,more_or_less_arrests,los_angeles,new_york_city,chicago,average_full_time_officers,rate_of_force,town_name,county,patrol_area,full_url
"Randolph, Morris",/database/pd-dept/randolph-morris,249%,more likely,27%,less likely,1,19,19,34,This department uses force at higher rate than 292 police departments,Randolph,Morris County,Patrol area: Randolph,http://force.nj.com/database/pd-dept/randolph-morris
"Raritan, Hunterdon",/database/pd-dept/raritan-hunterdon,775%,more likely,36%,more likely,0,8,8,32,This department uses force at lower rate than 356 police departments,Raritan,Hunterdon County,Patrol area: Raritan,http://force.nj.com/database/pd-dept/raritan-hunterdon
"Raritan, Somerset",/database/pd-dept/raritan-somerset,1568%,more likely,83%,more likely,0,11,11,18,This department uses force at lower rate than 318 police departments,Raritan,Somerset County,Patrol area: Raritan,http://force.nj.com/database/pd-dept/raritan-somerset
"Readington, Hunterdon",/database/pd-dept/readington-hunterdon,4444%,more likely,117%,more likely,0,5,5,22,This department uses force at lower rate than 424 police departments,Readington,Hunterdon County,Patrol area: Readington,http://force.nj.com/database/pd-dept/readington-hunterdon
"Red Bank, Monmouth",/database/pd-dept/red-bank-monmouth,174%,more likely,79%,more likely,10,21,25,40,This department uses force at higher rate than 419 police departments,Red Bank,Monmouth County,Patrol area: Red Bank,http://force.nj.com/database/pd-dept/red-bank-monmouth
"Ridgefield Park, Bergen",/database/pd-dept/ridgefield-park-bergen,32%,less likely,40%,less likely,0,20,21,28,This department uses force at higher rate than 375 police departments,Ridgefield Park,Bergen County,Patrol area: Ridgefield Park,http://force.nj.com/database/pd-dept/ridgefield-park-bergen
"Ridgefield, Bergen",/database/pd-dept/ridgefield-bergen,N/A,Not found,N/A,Not found,0,5,5,26,This department uses force at lower rate than 436 police departments,Ridgefield,Bergen County,Patrol area: Ridgefield,http://force.nj.com/database/pd-dept/ridgefield-bergen
"Ridgewood, Bergen",/database/pd-dept/ridgewood-bergen,405%,more likely,35%,more likely,1,20,20,42,This department uses force at higher rate than 427 police departments,Ridgewood,Bergen County,Patrol area: Ridgewood,http://force.nj.com/database/pd-dept/ridgewood-bergen
"Ringwood, Passaic",/database/pd-dept/ringwood-passaic,419%,more likely,66%,less likely,0,14,14,20,This department uses force at higher rate than 410 police departments,Ringwood,Passaic County,Patrol area: Ringwood,http://force.nj.com/database/pd-dept/ringwood-passaic
"River Edge, Bergen",/database/pd-dept/river-edge-bergen,N/A,Not found,N/A,Not found,0,5,5,23,This department uses force at lower rate than 285 police departments,River Edge,Bergen County,Patrol area: River Edge,http://force.nj.com/database/pd-dept/river-edge-bergen
"River Vale, Bergen",/database/pd-dept/river-vale-bergen,N/A,Not found,N/A,Not found,0,1,1,20,This department uses force at lower rate than 420 police departments,River Vale,Bergen County,Patrol area: River Vale,http://force.nj.com/database/pd-dept/river-vale-bergen
"Riverdale, Morris",/database/pd-dept/riverdale-morris,N/A,Not found,32%,less likely,0,6,6,15,This department uses force at lower rate than 336 police departments,Riverdale,Morris County,Patrol area: Riverdale,http://force.nj.com/database/pd-dept/riverdale-morris
"Riverside, Burlington",/database/pd-dept/riverside-burlington,160%,more likely,53%,more likely,1,13,15,14,This department uses force at higher rate than 252 police departments,Riverside,Burlington County,Patrol area: Riverside,http://force.nj.com/database/pd-dept/riverside-burlington
"Riverton, Burlington",/database/pd-dept/riverton-burlington,N/A,Not found,N/A,Not found,0,2,2,6,This department uses force at lower rate than 455 police departments,Riverton,Burlington County,Patrol area: Riverton,http://force.nj.com/database/pd-dept/riverton-burlington
"Robbinsville, Mercer",/database/pd-dept/robbinsville-mercer,328%,more likely,31%,less likely,0,11,11,26,This department uses force at lower rate than 383 police departments,Robbinsville,Mercer County,Patrol area: Robbinsville,http://force.nj.com/database/pd-dept/robbinsville-mercer
"Rochelle Park, Bergen",/database/pd-dept/rochelle-park-bergen,1975%,more likely,4%,less likely,1,8,9,20,This department uses force at higher rate than 399 police departments,Rochelle Park,Bergen County,Patrol area: Rochelle Park,http://force.nj.com/database/pd-dept/rochelle-park-bergen
"Rockaway Borough, Morris",/database/pd-dept/rockaway-borough-morris,N/A,Not found,57%,more likely,0,2,2,14,This department uses force at lower rate than 381 police departments,Rockaway Borough,Morris County,Patrol area: Rockaway Borough,http://force.nj.com/database/pd-dept/rockaway-borough-morris
"Rockaway Township, Morris",/database/pd-dept/rockaway-township-morris,1077%,more likely,151%,more likely,0,10,10,52,This department uses force at lower rate than 415 police departments,Rockaway Township,Morris County,Patrol area: Rockaway Township,http://force.nj.com/database/pd-dept/rockaway-township-morris
"Roseland, Essex",/database/pd-dept/roseland-essex,N/A,Not found,N/A,Not found,0,3,3,24,This department uses force at lower rate than 276 police departments,Roseland,Essex County,Patrol area: Roseland,http://force.nj.com/database/pd-dept/roseland-essex
"Roselle Park, Union",/database/pd-dept/roselle-park-union,449%,more likely,25%,more likely,2,19,19,34,This department uses force at lower rate than 247 police departments,Roselle Park,Union County,Patrol area: Roselle Park,http://force.nj.com/database/pd-dept/roselle-park-union
"Roselle, Union",/database/pd-dept/roselle-union,46%,less likely,12%,less likely,9,35,47,58,This department uses force at higher rate than 450 police departments,Roselle,Union County,Patrol area: Roselle,http://force.nj.com/database/pd-dept/roselle-union
"Roxbury, Morris",/database/pd-dept/roxbury-morris,41%,less likely,65%,less likely,0,20,21,42,This department uses force at higher rate than 249 police departments,Roxbury,Morris County,Patrol area: Roxbury,http://force.nj.com/database/pd-dept/roxbury-morris
"Rumson, Monmouth",/database/pd-dept/rumson-monmouth,N/A,Not found,N/A,Not found,0,1,3,16,This department uses force at lower rate than 248 police departments,Rumson,Monmouth County,Patrol area: Rumson,http://force.nj.com/database/pd-dept/rumson-monmouth
"Runnemede, Camden",/database/pd-dept/runnemede-camden,N/A,Not found,N/A,Not found,0,0,0,16,This department uses force at lower rate than 459 police departments,Runnemede,Camden County,Patrol area: Runnemede,http://force.nj.com/database/pd-dept/runnemede-camden
"Rutherford, Bergen",/database/pd-dept/rutherford-bergen,636%,more likely,143%,more likely,0,14,14,36,This department uses force at higher rate than 358 police departments,Rutherford,Bergen County,Patrol area: Rutherford,http://force.nj.com/database/pd-dept/rutherford-bergen
"Saddle Brook, Bergen",/database/pd-dept/saddle-brook-bergen,N/A,Not found,119%,more likely,0,3,4,28,This department uses force at lower rate than 426 police departments,Saddle Brook,Bergen County,Patrol area: Saddle Brook,http://force.nj.com/database/pd-dept/saddle-brook-bergen
"Saddle River, Bergen",/database/pd-dept/saddle-river-bergen,N/A,Not found,N/A,Not found,0,0,0,16,This department uses force at lower rate than 435 police departments,Saddle River,Bergen County,Patrol area: Saddle River,http://force.nj.com/database/pd-dept/saddle-river-bergen
"Salem City, Salem",/database/pd-dept/salem-city-salem,112%,more likely,Not found,Not found,3,14,15,20,This department uses force at higher rate than 261 police departments,Salem City,Salem County,Patrol area: Salem City,http://force.nj.com/database/pd-dept/salem-city-salem
"Sayreville, Middlesex",/database/pd-dept/sayreville-middlesex,32%,more likely,7%,less likely,0,34,40,85,This department uses force at higher rate than 370 police departments,Sayreville,Middlesex County,Patrol area: Sayreville,http://force.nj.com/database/pd-dept/sayreville-middlesex
"Scotch Plains, Union",/database/pd-dept/scotch-plains-union,276%,more likely,17%,less likely,0,13,15,44,This department uses force at lower rate than 258 police departments,Scotch Plains,Union County,Patrol area: Scotch Plains,http://force.nj.com/database/pd-dept/scotch-plains-union
"Sea Bright, Monmouth",/database/pd-dept/sea-bright-monmouth,275%,more likely,184%,more likely,0,7,7,12,This department uses force at higher rate than 376 police departments,Sea Bright,Monmouth County,Patrol area: Sea Bright,http://force.nj.com/database/pd-dept/sea-bright-monmouth
"Sea Girt, Monmouth",/database/pd-dept/sea-girt-monmouth,497%,more likely,76%,more likely,0,6,9,11,This department uses force at higher rate than 461 police departments,Sea Girt,Monmouth County,Patrol area: Sea Girt,http://force.nj.com/database/pd-dept/sea-girt-monmouth
"Sea Isle City, Cape May",/database/pd-dept/sea-isle-city-cape-may,729%,more likely,49%,less likely,0,23,24,22,This department uses force at higher rate than 458 police departments,Sea Isle City,Cape May County,Patrol area: Sea Isle City,http://force.nj.com/database/pd-dept/sea-isle-city-cape-may
"Seaside Heights, Ocean",/database/pd-dept/seaside-heights-ocean,772%,more likely,42%,more likely,4,28,46,24,This department uses force at higher rate than 350 police departments,Seaside Heights,Ocean County,Patrol area: Seaside Heights,http://force.nj.com/database/pd-dept/seaside-heights-ocean
"Seaside Park, Ocean",/database/pd-dept/seaside-park-ocean,4364%,more likely,24%,less likely,0,6,9,13,This department uses force at lower rate than 244 police departments,Seaside Park,Ocean County,Patrol area: Seaside Park,http://force.nj.com/database/pd-dept/seaside-park-ocean
"Secaucus, Hudson",/database/pd-dept/secaucus-hudson,305%,more likely,35%,more likely,1,41,41,60,This department uses force at higher rate than 353 police departments,Secaucus,Hudson County,Patrol area: Secaucus,http://force.nj.com/database/pd-dept/secaucus-hudson
"Ship Bottom, Ocean",/database/pd-dept/ship-bottom-ocean,N/A,Not found,N/A,Not found,0,7,8,11,This department uses force at lower rate than 302 police departments,Ship Bottom,Ocean County,Patrol area: Ship Bottom,http://force.nj.com/database/pd-dept/ship-bottom-ocean
"Shrewsbury, Monmouth",/database/pd-dept/shrewsbury-monmouth,9405%,more likely,59%,less likely,0,3,3,16,This department uses force at lower rate than 349 police departments,Shrewsbury,Monmouth County,Patrol area: Shrewsbury,http://force.nj.com/database/pd-dept/shrewsbury-monmouth
"Somerdale, Camden",/database/pd-dept/somerdale-camden,210%,more likely,81%,more likely,0,6,7,14,This department uses force at lower rate than 352 police departments,Somerdale,Camden County,Patrol area: Somerdale,http://force.nj.com/database/pd-dept/somerdale-camden
"Somers Point, Atlantic",/database/pd-dept/somers-point-atlantic,130%,more likely,10%,more likely,1,11,13,30,This department uses force at lower rate than 391 police departments,Somers Point,Atlantic County,Patrol area: Somers Point,http://force.nj.com/database/pd-dept/somers-point-atlantic
"Somerville, Somerset",/database/pd-dept/somerville-somerset,207%,more likely,17%,more likely,4,24,26,31,This department uses force at higher rate than 414 police departments,Somerville,Somerset County,Patrol area: Somerville,http://force.nj.com/database/pd-dept/somerville-somerset
"South Amboy, Middlesex",/database/pd-dept/south-amboy-middlesex,824%,more likely,99%,more likely,0,16,18,24,This department uses force at higher rate than 391 police departments,South Amboy,Middlesex County,Patrol area: South Amboy,http://force.nj.com/database/pd-dept/south-amboy-middlesex
"South Bound Brook, Somerset",/database/pd-dept/south-bound-brook-somerset,204%,more likely,12%,less likely,0,6,10,12,This department uses force at higher rate than 274 police departments,South Bound Brook,Somerset County,Patrol area: South Bound Brook,http://force.nj.com/database/pd-dept/south-bound-brook-somerset
"South Brunswick, Middlesex",/database/pd-dept/south-brunswick-middlesex,114%,more likely,19%,less likely,0,34,36,76,This department uses force at lower rate than 301 police departments,South Brunswick,Middlesex County,Patrol area: South Brunswick,http://force.nj.com/database/pd-dept/south-brunswick-middlesex
"South Hackensack, Bergen",/database/pd-dept/south-hackensack-bergen,N/A,Not found,95%,more likely,0,2,3,18,This department uses force at lower rate than 347 police departments,South Hackensack,Bergen County,Patrol area: South Hackensack,http://force.nj.com/database/pd-dept/south-hackensack-bergen
"South Harrison, Gloucester",/database/pd-dept/south-harrison-gloucester,N/A,Not found,N/A,Not found,0,0,1,6,This department uses force at lower rate than 440 police departments,South Harrison,Gloucester County,Patrol area: South Harrison,http://force.nj.com/database/pd-dept/south-harrison-gloucester
"South Orange, Essex",/database/pd-dept/south-orange-essex,844%,more likely,88%,more likely,0,16,18,47,This department uses force at higher rate than 385 police departments,South Orange,Essex County,Patrol area: South Orange,http://force.nj.com/database/pd-dept/south-orange-essex
"South Plainfield, Middlesex",/database/pd-dept/south-plainfield-middlesex,321%,more likely,15%,more likely,0,20,22,52,This department uses force at lower rate than 290 police departments,South Plainfield,Middlesex County,Patrol area: South Plainfield,http://force.nj.com/database/pd-dept/south-plainfield-middlesex
"South River, Middlesex",/database/pd-dept/south-river-middlesex,161%,more likely,20%,less likely,5,19,19,32,This department uses force at higher rate than 371 police departments,South River,Middlesex County,Patrol area: South River,http://force.nj.com/database/pd-dept/south-river-middlesex
"South Toms River, Ocean",/database/pd-dept/south-toms-river-ocean,46%,more likely,10%,more likely,1,7,7,11,This department uses force at higher rate than 454 police departments,South Toms River,Ocean County,Patrol area: South Toms River,http://force.nj.com/database/pd-dept/south-toms-river-ocean
"Sparta, Sussex",/database/pd-dept/sparta-sussex,30%,more likely,14%,less likely,0,10,10,30,This department uses force at lower rate than 365 police departments,Sparta,Sussex County,Patrol area: Sparta,http://force.nj.com/database/pd-dept/sparta-sussex
"Spotswood, Middlesex",/database/pd-dept/spotswood-middlesex,79%,more likely,10%,less likely,1,7,8,20,This department uses force at higher rate than 396 police departments,Spotswood,Middlesex County,Patrol area: Spotswood,http://force.nj.com/database/pd-dept/spotswood-middlesex
"Spring Lake Borough, Monmouth",/database/pd-dept/spring-lake-borough-monmouth,N/A,Not found,N/A,Not found,0,6,6,13,This department uses force at lower rate than 400 police departments,Spring Lake Borough,Monmouth County,Patrol area: Spring Lake Borough,http://force.nj.com/database/pd-dept/spring-lake-borough-monmouth
"Spring Lake Heights, Monmouth",/database/pd-dept/spring-lake-heights-monmouth,N/A,Not found,N/A,Not found,0,2,2,12,This department uses force at higher rate than 356 police departments,Spring Lake Heights,Monmouth County,Patrol area: Spring Lake Heights,http://force.nj.com/database/pd-dept/spring-lake-heights-monmouth
"Springfield, Burlington",/database/pd-dept/springfield-burlington,N/A,Not found,N/A,Not found,0,0,0,8,This department uses force at lower rate than 410 police departments,Springfield,Burlington County,Patrol area: Springfield,http://force.nj.com/database/pd-dept/springfield-burlington
"Springfield, Union",/database/pd-dept/springfield-union,467%,more likely,16%,less likely,0,10,10,42,This department uses force at lower rate than 340 police departments,Springfield,Union County,Patrol area: Springfield,http://force.nj.com/database/pd-dept/springfield-union
"Stafford, Ocean",/database/pd-dept/stafford-ocean,49%,more likely,35%,less likely,1,28,28,50,This department uses force at higher rate than 243 police departments,Stafford,Ocean County,Patrol area: Stafford,http://force.nj.com/database/pd-dept/stafford-ocean
"Stanhope, Sussex",/database/pd-dept/stanhope-sussex,20%,more likely,73%,less likely,1,6,6,9,This department uses force at higher rate than 449 police departments,Stanhope,Sussex County,Patrol area: Stanhope,http://force.nj.com/database/pd-dept/stanhope-sussex
"Stone Harbor Borough, Cape May",/database/pd-dept/stone-harbor-borough-cape-may,243%,more likely,58%,more likely,0,12,12,16,This department uses force at higher rate than 351 police departments,Stone Harbor Borough,Cape May County,Patrol area: Stone Harbor Borough,http://force.nj.com/database/pd-dept/stone-harbor-borough-cape-may
"Stratford, Camden",/database/pd-dept/stratford-camden,463%,more likely,25%,more likely,1,14,14,15,This department uses force at lower rate than 254 police departments,Stratford,Camden County,Patrol area: Stratford,http://force.nj.com/database/pd-dept/stratford-camden
"Summit, Union",/database/pd-dept/summit-union,1387%,more likely,93%,more likely,0,8,8,46,This department uses force at higher rate than 317 police departments,Summit,Union County,Patrol area: Summit,http://force.nj.com/database/pd-dept/summit-union
"Surf City, Ocean",/database/pd-dept/surf-city-ocean,N/A,Not found,N/A,Not found,0,4,5,10,This department uses force at lower rate than 322 police departments,Surf City,Ocean County,Patrol area: Surf City,http://force.nj.com/database/pd-dept/surf-city-ocean
"Teaneck, Bergen",/database/pd-dept/teaneck-bergen,119%,more likely,14%,more likely,3,42,42,92,This department uses force at higher rate than 404 police departments,Teaneck,Bergen County,Patrol area: Teaneck,http://force.nj.com/database/pd-dept/teaneck-bergen
"Tenafly, Bergen",/database/pd-dept/tenafly-bergen,N/A,Not found,198%,more likely,0,8,8,34,This department uses force at lower rate than 300 police departments,Tenafly,Bergen County,Patrol area: Tenafly,http://force.nj.com/database/pd-dept/tenafly-bergen
"Tinton Falls, Monmouth",/database/pd-dept/tinton-falls-monmouth,443%,more likely,16%,more likely,0,33,33,38,This department uses force at higher rate than 267 police departments,Tinton Falls,Monmouth County,Patrol area: Tinton Falls,http://force.nj.com/database/pd-dept/tinton-falls-monmouth
"Toms River, Ocean",/database/pd-dept/toms-river-ocean,482%,more likely,Not found,Not found,25,118,121,155,This department uses force at higher rate than 382 police departments,Toms River,Ocean County,Patrol area: Toms River,http://force.nj.com/database/pd-dept/toms-river-ocean
"Totowa, Passaic",/database/pd-dept/totowa-passaic,N/A,Not found,N/A,Not found,0,1,1,28,This department uses force at lower rate than 458 police departments,Totowa,Passaic County,Patrol area: Totowa,http://force.nj.com/database/pd-dept/totowa-passaic
"Clinton, Hunterdon",/database/pd-dept/clinton-hunterdon,N/A,Not found,N/A,Not found,0,0,0,10,This department uses force at lower rate than 453 police departments,Clinton,Hunterdon County,Patrol area: Clinton,http://force.nj.com/database/pd-dept/clinton-hunterdon
"Trenton, Mercer",/database/pd-dept/trenton-mercer,42%,more likely,42%,more likely,29,138,167,221,This department uses force at higher rate than 329 police departments,Trenton,Mercer County,Patrol area: Trenton,http://force.nj.com/database/pd-dept/trenton-mercer
"Tuckerton, Ocean",/database/pd-dept/tuckerton-ocean,229%,more likely,39%,more likely,0,5,5,10,This department uses force at higher rate than 304 police departments,Tuckerton,Ocean County,Patrol area: Tuckerton,http://force.nj.com/database/pd-dept/tuckerton-ocean
"Union Beach, Monmouth",/database/pd-dept/union-beach-monmouth,15%,less likely,27%,less likely,0,4,10,14,This department uses force at lower rate than 256 police departments,Union Beach,Monmouth County,Patrol area: Union Beach,http://force.nj.com/database/pd-dept/union-beach-monmouth
"Union City, Hudson",/database/pd-dept/union-city-hudson,90%,less likely,38%,less likely,6,64,66,158,This department uses force at lower rate than 263 police departments,Union City,Hudson County,Patrol area: Union City,http://force.nj.com/database/pd-dept/union-city-hudson
"Union Township, Union",/database/pd-dept/union-township-union,231%,more likely,37%,more likely,10,65,73,132,This department uses force at higher rate than 236 police departments,Union Township,Union County,Patrol area: Union Township,http://force.nj.com/database/pd-dept/union-township-union
"Upper Saddle River, Bergen",/database/pd-dept/upper-saddle-river-bergen,N/A,Not found,30%,less likely,0,4,4,17,This department uses force at lower rate than 299 police departments,Upper Saddle River,Bergen County,Patrol area: Upper Saddle River,http://force.nj.com/database/pd-dept/upper-saddle-river-bergen
"Ventnor City, Atlantic",/database/pd-dept/ventnor-city-atlantic,96%,more likely,46%,less likely,0,17,19,38,This department uses force at lower rate than 294 police departments,Ventnor City,Atlantic County,Patrol area: Ventnor City,http://force.nj.com/database/pd-dept/ventnor-city-atlantic
"Vernon, Sussex",/database/pd-dept/vernon-sussex,N/A,Not found,N/A,Not found,1,11,14,30,This department uses force at lower rate than 262 police departments,Vernon,Sussex County,Patrol area: Vernon,http://force.nj.com/database/pd-dept/vernon-sussex
"Verona, Essex",/database/pd-dept/verona-essex,N/A,Not found,74%,less likely,0,6,7,28,This department uses force at lower rate than 386 police departments,Verona,Essex County,Patrol area: Verona,http://force.nj.com/database/pd-dept/verona-essex
"Vineland, Cumberland",/database/pd-dept/vineland-cumberland,98%,more likely,3%,more likely,56,102,103,138,This department uses force at higher rate than 386 police departments,Vineland,Cumberland County,Patrol area: Vineland,http://force.nj.com/database/pd-dept/vineland-cumberland
"Voorhees, Camden",/database/pd-dept/voorhees-camden,400%,more likely,56%,more likely,7,40,40,47,This department uses force at higher rate than 460 police departments,Voorhees,Camden County,Patrol area: Voorhees,http://force.nj.com/database/pd-dept/voorhees-camden
"Waldwick, Bergen",/database/pd-dept/waldwick-bergen,N/A,Not found,21%,more likely,0,7,8,19,This department uses force at lower rate than 255 police departments,Waldwick,Bergen County,Patrol area: Waldwick,http://force.nj.com/database/pd-dept/waldwick-bergen
"Wall, Monmouth",/database/pd-dept/wall-monmouth,540%,more likely,Not found,Not found,0,42,43,66,This department uses force at lower rate than 408 police departments,Wall,Monmouth County,Patrol area: Wall,http://force.nj.com/database/pd-dept/wall-monmouth
"Wallington, Bergen",/database/pd-dept/wallington-bergen,N/A,Not found,N/A,Not found,0,1,1,21,This department uses force at lower rate than 428 police departments,Wallington,Bergen County,Patrol area: Wallington,http://force.nj.com/database/pd-dept/wallington-bergen
"Wanaque, Passaic",/database/pd-dept/wanaque-passaic,N/A,Not found,273%,more likely,0,7,7,23,This department uses force at lower rate than 402 police departments,Wanaque,Passaic County,Patrol area: Wanaque,http://force.nj.com/database/pd-dept/wanaque-passaic
"Warren Township, Somerset",/database/pd-dept/warren-township-somerset,441%,more likely,28%,less likely,0,8,9,28,This department uses force at lower rate than 325 police departments,Warren Township,Somerset County,Patrol area: Warren Township,http://force.nj.com/database/pd-dept/warren-township-somerset
"Washington Township &amp; Washington Borough, Warren",/database/pd-dept/washington-township-warren,61%,more likely,49%,less likely,1,15,16,26,This department uses force at lower rate than 272 police departments,Washington Township,Warren County,Patrol area: Washington Township &amp; Washington Borough,http://force.nj.com/database/pd-dept/washington-township-warren
"Washington, Bergen",/database/pd-dept/washington-bergen,N/A,Not found,N/A,Not found,0,5,5,20,This department uses force at higher rate than 352 police departments,Washington,Bergen County,Patrol area: Washington,http://force.nj.com/database/pd-dept/washington-bergen
"Washington, Gloucester",/database/pd-dept/washington-gloucester,255%,more likely,14%,less likely,6,36,36,74,This department uses force at higher rate than 250 police departments,Washington,Gloucester County,Patrol area: Washington,http://force.nj.com/database/pd-dept/washington-gloucester
"Washington &amp; Califon Borough, Morris",/database/pd-dept/washington-morris,N/A,Not found,124%,more likely,0,8,8,28,This department uses force at lower rate than 309 police departments,Washington,Morris County,Patrol area: Washington &amp; Califon Borough,http://force.nj.com/database/pd-dept/washington-morris
"Watchung, Somerset",/database/pd-dept/watchung-somerset,3990%,more likely,2%,less likely,0,8,11,30,This department uses force at lower rate than 404 police departments,Watchung,Somerset County,Patrol area: Watchung,http://force.nj.com/database/pd-dept/watchung-somerset
"Waterford, Camden",/database/pd-dept/waterford-camden,1180%,more likely,86%,more likely,2,8,13,22,This department uses force at higher rate than 313 police departments,Waterford,Camden County,Patrol area: Waterford,http://force.nj.com/database/pd-dept/waterford-camden
"Wayne, Passaic",/database/pd-dept/wayne-passaic,402%,more likely,23%,less likely,0,19,21,116,This department uses force at lower rate than 342 police departments,Wayne,Passaic County,Patrol area: Wayne,http://force.nj.com/database/pd-dept/wayne-passaic
"Weehawken, Hudson",/database/pd-dept/weehawken-hudson,N/A,Not found,N/A,Not found,0,15,15,46,This department uses force at lower rate than 240 police departments,Weehawken,Hudson County,Patrol area: Weehawken,http://force.nj.com/database/pd-dept/weehawken-hudson
"Wenonah, Gloucester",/database/pd-dept/wenonah-gloucester,N/A,Not found,47%,more likely,0,2,2,6,This department uses force at higher rate than 462 police departments,Wenonah,Gloucester County,Patrol area: Wenonah,http://force.nj.com/database/pd-dept/wenonah-gloucester
"West Amwell, Hunterdon",/database/pd-dept/west-amwell-hunterdon,N/A,Not found,N/A,Not found,0,1,2,6,This department uses force at lower rate than 411 police departments,West Amwell,Hunterdon County,Patrol area: West Amwell,http://force.nj.com/database/pd-dept/west-amwell-hunterdon
"West Caldwell, Essex",/database/pd-dept/west-caldwell-essex,N/A,Not found,N/A,Not found,0,4,4,26,This department uses force at lower rate than 439 police departments,West Caldwell,Essex County,Patrol area: West Caldwell,http://force.nj.com/database/pd-dept/west-caldwell-essex
"West Deptford, Gloucester",/database/pd-dept/west-deptford-gloucester,213%,more likely,5%,less likely,3,21,21,41,This department uses force at lower rate than 399 police departments,West Deptford,Gloucester County,Patrol area: West Deptford,http://force.nj.com/database/pd-dept/west-deptford-gloucester
"West Long Branch, Monmouth",/database/pd-dept/west-long-branch-monmouth,494%,more likely,20%,less likely,0,5,6,20,This department uses force at lower rate than 324 police departments,West Long Branch,Monmouth County,Patrol area: West Long Branch,http://force.nj.com/database/pd-dept/west-long-branch-monmouth
"West Milford, Passaic",/database/pd-dept/west-milford-passaic,836%,more likely,59%,more likely,0,6,8,44,This department uses force at lower rate than 430 police departments,West Milford,Passaic County,Patrol area: West Milford,http://force.nj.com/database/pd-dept/west-milford-passaic
"West New York, Hudson",/database/pd-dept/west-new-york-hudson,62%,less likely,92%,more likely,16,69,69,105,This department uses force at higher rate than 446 police departments,West New York,Hudson County,Patrol area: West New York,http://force.nj.com/database/pd-dept/west-new-york-hudson
"West Orange, Essex",/database/pd-dept/west-orange-essex,173%,more likely,29%,more likely,1,29,34,94,This department uses force at higher rate than 264 police departments,West Orange,Essex County,Patrol area: West Orange,http://force.nj.com/database/pd-dept/west-orange-essex
"West Wildwood, Cape May",/database/pd-dept/west-wildwood-cape-may,N/A,Not found,N/A,Not found,0,2,2,4,This department uses force at lower rate than 421 police departments,West Wildwood,Cape May County,Patrol area: West Wildwood,http://force.nj.com/database/pd-dept/west-wildwood-cape-may
"West Windsor, Mercer",/database/pd-dept/west-windsor-mercer,1083%,more likely,1%,less likely,0,16,16,47,This department uses force at lower rate than 379 police departments,West Windsor,Mercer County,Patrol area: West Windsor,http://force.nj.com/database/pd-dept/west-windsor-mercer
"Westfield, Union",/database/pd-dept/westfield-union,403%,more likely,64%,less likely,0,13,13,55,This department uses force at lower rate than 329 police departments,Westfield,Union County,Patrol area: Westfield,http://force.nj.com/database/pd-dept/westfield-union
"Westampton, Burlington",/database/pd-dept/westampton-burlington,491%,more likely,28%,more likely,1,12,13,22,This department uses force at lower rate than 243 police departments,Westampton,Burlington County,Patrol area: Westampton,http://force.nj.com/database/pd-dept/westampton-burlington
"Westville &amp; National Park, Gloucester",/database/pd-dept/westville-gloucester,657%,more likely,28%,more likely,1,8,12,12,This department uses force at higher rate than 324 police departments,Westville,Gloucester County,Patrol area: Westville &amp; National Park,http://force.nj.com/database/pd-dept/westville-gloucester
"Westwood, Bergen",/database/pd-dept/westwood-bergen,171%,more likely,7%,more likely,0,11,12,25,This department uses force at higher rate than 257 police departments,Westwood,Bergen County,Patrol area: Westwood,http://force.nj.com/database/pd-dept/westwood-bergen
"Wharton &amp; Mine Hill, Morris",/database/pd-dept/wharton-morris,512%,more likely,41%,more likely,0,10,12,20,This department uses force at higher rate than 296 police departments,Wharton,Morris County,Patrol area: Wharton &amp; Mine Hill,http://force.nj.com/database/pd-dept/wharton-morris
"Wildwood Crest, Cape May",/database/pd-dept/wildwood-crest-cape-may,N/A,Not found,96%,more likely,0,13,15,20,This department uses force at higher rate than 420 police departments,Wildwood Crest,Cape May County,Patrol area: Wildwood Crest,http://force.nj.com/database/pd-dept/wildwood-crest-cape-may
"Wildwood, Cape May",/database/pd-dept/wildwood-cape-may,233%,more likely,96%,more likely,11,65,69,38,This department uses force at higher rate than 388 police departments,Wildwood,Cape May County,Patrol area: Wildwood,http://force.nj.com/database/pd-dept/wildwood-cape-may
"Willingboro, Burlington",/database/pd-dept/willingboro-burlington,2%,more likely,18%,less likely,3,33,35,63,This department uses force at higher rate than 244 police departments,Willingboro,Burlington County,Patrol area: Willingboro,http://force.nj.com/database/pd-dept/willingboro-burlington
"Winfield, Union",/database/pd-dept/winfield-union,N/A,Not found,N/A,Not found,0,1,1,8,This department uses force at lower rate than 261 police departments,Winfield,Union County,Patrol area: Winfield,http://force.nj.com/database/pd-dept/winfield-union
"Winslow, Camden",/database/pd-dept/winslow-camden,142%,more likely,67%,more likely,4,46,48,72,This department uses force at higher rate than 285 police departments,Winslow,Camden County,Patrol area: Winslow,http://force.nj.com/database/pd-dept/winslow-camden
"Wood-Ridge, Bergen",/database/pd-dept/wood-ridge-bergen,N/A,Not found,32%,more likely,0,1,1,21,This department uses force at lower rate than 267 police departments,Wood-Ridge,Bergen County,Patrol area: Wood-Ridge,http://force.nj.com/database/pd-dept/wood-ridge-bergen
"Woodbridge, Middlesex",/database/pd-dept/woodbridge-middlesex,70%,more likely,2%,more likely,5,93,97,190,This department uses force at higher rate than 277 police departments,Woodbridge,Middlesex County,Patrol area: Woodbridge,http://force.nj.com/database/pd-dept/woodbridge-middlesex
